Episode 1: [left: -0.1315| right: -0.3229| speed up: 0.0392| stay the same: 0.0616| slow down: -0.1563]
Episode 100: [left: 9519.5635| right: 12689.9814| speed up: 9594.4385| stay the same: 3055.0481| slow down: 10244.2002]
Episode 200: [left: 11014.7021| right: 12408.7852| speed up: 12511.3740| stay the same: 12316.2656| slow down: 13181.9102]
Episode 300: [left: 6977.2451| right: 9852.1074| speed up: 7943.5537| stay the same: 7278.7886| slow down: 9034.3877]
Episode 400: [left: 25267.6348| right: 27530.6074| speed up: 29964.6504| stay the same: 32259.1582| slow down: 33001.3008]
Episode 500: [left: 2161.3210| right: 2325.9280| speed up: 9703.6865| stay the same: 7778.6753| slow down: 6263.9644]
Episode 600: [left: 3036.6963| right: 3221.7786| speed up: 4262.6562| stay the same: 4079.4365| slow down: 4196.9355]
Episode 700: [left: 4369.6030| right: 5584.7490| speed up: 8978.7549| stay the same: 7917.0815| slow down: 7150.1890]
Episode 800: [left: 6129.2666| right: 7192.4082| speed up: 9455.1738| stay the same: 7929.1509| slow down: 8480.5010]
Episode 900: [left: 1689.0605| right: 1637.7385| speed up: 1871.6437| stay the same: 1649.1882| slow down: 2066.6438]
Episode 1000: [left: 2840.8582| right: 1662.4658| speed up: 4092.3582| stay the same: 3579.7249| slow down: 2937.9312]
Episode 1100: [left: 1390.1196| right: 2931.8315| speed up: 3314.8289| stay the same: 3084.2800| slow down: 2933.2886]
Episode 1200: [left: 824.9857| right: 981.5118| speed up: 350.3938| stay the same: 641.0338| slow down: 1021.4278]
Episode 1300: [left: 2315.2434| right: 1635.5200| speed up: 3434.8745| stay the same: 3269.5134| slow down: 2838.6624]
Episode 1400: [left: 1029.7401| right: 903.7535| speed up: 759.7141| stay the same: 806.1155| slow down: 1099.2573]
Episode 1500: [left: 285.6972| right: 717.2341| speed up: 398.6151| stay the same: 553.8116| slow down: 744.5573]
Episode 1600: [left: 1766.5841| right: 1203.1052| speed up: 2277.8650| stay the same: 2117.0896| slow down: 1914.6086]
Episode 1700: [left: 1951.1917| right: 1236.6224| speed up: 2154.4802| stay the same: 1667.0781| slow down: 1737.0278]
Episode 1800: [left: -3572.3953| right: -3214.7576| speed up: 556.5521| stay the same: -4623.2808| slow down: -5784.4741]
Episode 1900: [left: 203.0395| right: 481.4925| speed up: 401.9441| stay the same: 307.2581| slow down: 427.8375]
Episode 2000: [left: 699.3222| right: 1033.4999| speed up: 820.9895| stay the same: 709.1782| slow down: 738.6799]
Episode 2100: [left: 1146.8033| right: 1170.7179| speed up: 1433.6555| stay the same: 1420.2518| slow down: 1400.7203]
Episode 2200: [left: 381.9619| right: 466.7327| speed up: 533.4943| stay the same: 458.9901| slow down: 494.7963]
Episode 2300: [left: 700.9693| right: 898.3166| speed up: 1858.1013| stay the same: 1423.3120| slow down: 1363.2218]
Episode 2400: [left: 1330.9491| right: 1218.1654| speed up: 1545.5990| stay the same: 1373.5582| slow down: 1373.8315]
Episode 2500: [left: 1382.5547| right: 1676.8651| speed up: 1802.0479| stay the same: 1429.8042| slow down: 1494.9093]
Episode 2600: [left: 858.7028| right: 671.9808| speed up: 868.1655| stay the same: 789.2986| slow down: 832.5599]
Episode 2700: [left: 1816.9294| right: 1681.3334| speed up: 1961.1097| stay the same: 1927.7426| slow down: 1988.4990]
Episode 2800: [left: 697.4272| right: 236.7728| speed up: 1162.7803| stay the same: 938.0112| slow down: 863.0220]
Episode 2900: [left: 33.3483| right: -8.5234| speed up: 532.0276| stay the same: 306.5045| slow down: 194.7770]
Episode 3000: [left: 1191.4243| right: 1450.7603| speed up: 1517.1155| stay the same: 1576.5409| slow down: 1555.9858]
Episode 3100: [left: 2881.3616| right: 2468.4626| speed up: 3218.2590| stay the same: 3153.9519| slow down: 3238.6763]
Episode 3200: [left: 755.1474| right: 727.8758| speed up: 1118.5715| stay the same: 1041.9130| slow down: 1054.1129]
Episode 3300: [left: 203.2222| right: 618.7808| speed up: 693.9379| stay the same: 799.8224| slow down: 603.3736]
Episode 3400: [left: 426.6768| right: 447.9437| speed up: 483.6376| stay the same: 451.0345| slow down: 466.8479]
Episode 3500: [left: 146.6578| right: 271.9875| speed up: 357.4829| stay the same: 241.9743| slow down: 322.9141]
Episode 3600: [left: 490.2953| right: 451.3628| speed up: 528.4366| stay the same: 490.2928| slow down: 471.2954]
Episode 3700: [left: 326.9180| right: 441.5725| speed up: 164.0667| stay the same: 480.6462| slow down: 671.3318]
Episode 3800: [left: 67726.8281| right: 96387.2500| speed up: 130803.7188| stay the same: 100028.6641| slow down: 71895.2656]
Episode 3900: [left: 72835.1172| right: 72928.8438| speed up: 88345.8047| stay the same: 79071.4453| slow down: 83643.3438]
Episode 4000: [left: 115833.2734| right: 161740.0156| speed up: 165426.4219| stay the same: 176485.7969| slow down: 157257.7500]
Episode 4100: [left: 731409.6250| right: 659139.8750| speed up: 565407.8750| stay the same: 642852.7500| slow down: 681793.4375]
Episode 4200: [left: 2685815.7500| right: 2258175.5000| speed up: 2693057.0000| stay the same: 2805172.7500| slow down: 2588690.0000]
Episode 4300: [left: 7492070.5000| right: 6384991.5000| speed up: 8408807.0000| stay the same: 7851607.0000| slow down: 8537484.0000]
Episode 4400: [left: -23633.8809| right: 18865.8008| speed up: 51659.4141| stay the same: -58147.0039| slow down: -86974.0312]
Episode 4500: [left: -221670.5938| right: -216515.1562| speed up: -186905.4062| stay the same: -233773.5625| slow down: -210981.5781]
Episode 4600: [left: -225750.0625| right: -238996.6875| speed up: -223091.4844| stay the same: -258751.4375| slow down: -243171.7344]
Episode 4700: [left: -196814.9219| right: -239741.0312| speed up: -203287.1094| stay the same: -243699.2031| slow down: -233639.6875]
Episode 4800: [left: 63216.8320| right: 92427.3516| speed up: 75718.2031| stay the same: 77385.2500| slow down: 76298.8828]
Episode 4900: [left: 48063712.0000| right: 50369784.0000| speed up: 57479268.0000| stay the same: 55470860.0000| slow down: 57416360.0000]
Episode 5000: [left: -143943.5312| right: -143828.1250| speed up: -96132.6328| stay the same: -174088.3594| slow down: -180878.4062]
